organism,perc_monthly_min_0,perc_monthly_min_05,median_monthly_min,mean_monthly_min,perc_monthly_min_95,perc_monthly_mean_05,median_monthly_mean,mean_monthly_mean,perc_monthly_mean_95,perc_monthly_max_05,median_monthly_max,mean_monthly_max,perc_monthly_max_95,perc_monthly_max_100,n_records,spp_rank
Microporella ciliata,-1.49609375,6.886136054992676,8.327863693237305,8.414880453941443,9.887503623962402,10.62946613629659,11.871659437815348,12.087414494710353,13.330981334050497,13.754375505447388,16.162864685058594,16.215422758179066,18.318622589111328,29.655609130859375,1294,70
Ostrea edulis,2.2586677074432373,3.5579047203063965,7.812698841094971,7.483902710425753,10.225973129272461,10.580117106437683,12.162204027175903,12.144981310481118,13.418051799138388,15.012248992919922,17.42242431640625,17.666276942982392,19.848583221435547,29.552457809448242,595,71
Fucus spiralis,0.621585488319397,6.691695690155029,8.536372184753418,8.815306337068757,11.438261032104492,10.176967342694601,12.138331969579061,12.266265358215026,15.102938572565714,13.488920211791992,16.220840454101562,16.251501063509018,19.903770446777344,24.612638473510742,6193,72
Thelepus cincinnatus,-1.7999999523162842,6.155928611755371,8.378473281860352,8.27365997595184,9.460051536560059,10.046558777491251,12.989485820134481,12.373472453889761,13.384393056233725,13.637057304382324,17.77011489868164,16.857275730491825,18.356416702270508,27.963558197021484,941,73
Ulva lactuca,-1.7999999523162842,6.073543548583984,9.005849838256836,8.673628234875936,10.42219371795654,10.350319226582846,12.661767880121866,12.418602650316783,13.474268198013306,14.019961071014405,16.798160552978516,16.62775911605915,18.81296157836914,31.122730255126953,1884,74
Mastocarpus stellatus,0.621585488319397,6.392792701721191,8.7881498336792,9.050389217075697,13.558826446533203,10.018928440411885,12.286962270736694,12.458896019992649,16.684483766555786,13.355751037597656,16.420215606689453,16.418723386484427,20.166263580322266,22.3282413482666,8437,75
Botrylloides violaceus,2.2586677074432373,3.1933722496032715,10.156837463378906,8.535633640973558,14.927148818969727,9.907856106758118,12.968990723292032,12.534632836560675,16.78308407465617,14.45987319946289,16.540855407714844,17.587404054376577,22.155315399169922,29.478164672851562,1115,76
Cladostephus spongiosus,1.7726478576660156,6.348207950592041,8.4662933349609375,8.738820279686196,12.322524070739746,10.299576560656229,12.286962270736694,12.551511759016487,16.136430025100708,13.711183547973633,16.380155563354492,16.85003908967865,21.401091766357393,26.917293548583984,4017,77
Crepidula fornicata,-0.14417332410812378,4.197589874267578,8.227193832397461,7.9251765409604875,10.674500274658202,10.748547037442526,12.667373577753702,12.646845379641233,14.186106046040853,16.246062469482425,17.644428253173828,17.921192312182942,20.379850387573242,30.689891815185547,7443,78
Codium fragile,-0.3196861743927002,3.5579047203063965,8.1107177734375,8.943444466224355,15.618367195129395,9.72480603059133,11.397385358810425,12.930198262586677,18.87878656387329,13.355751037597656,16.872684478759766,17.694751719014857,26.562546730041504,29.578895568847656,931,79
Hincksia granulosa,2.2586677074432373,6.006736373901368,8.1578521728515625,9.390113328000625,13.691658973693848,10.160741011301676,11.66408634185791,13.021286200562255,16.838228702545166,13.55109395980835,15.872641563415527,16.95523122060213,20.563892364501953,26.483667373657227,139,80
Erythrotrichia carnea,3.690509557723999,5.001464939117431,8.042878150939941,9.355427454147849,19.867130279541016,10.307670537630717,11.325068394343058,13.035366757591166,22.770526885986328,13.355751037597656,15.188885688781738,17.125436001398093,27.2117977142334,29.595195770263672,299,81
Colpomenia peregrina,2.118903160095215,7.4667816162109375,9.5269775390625,9.653969301808313,12.557625770568848,10.687069018681845,13.016155878702799,13.144269068737668,16.441116491953533,14.094825744628906,16.872684478759766,17.074578600095535,21.600248336791992,29.904979705810547,1266,82
Hemigrapsus sanguineus,0.22747802734375,2.5704426765441895,4.2843523025512695,6.1350907027346535,20.616657257080078,10.580117106437683,11.397385358810425,13.324850074431431,26.115421613057453,18.726673126220703,20.033220291137695,21.576363341613387,29.412220001220703,29.517248153686523,318,83
Rhizoclonium tortuosum,0.027587890625,2.5297322273254395,8.477243423461914,9.297283850065092,13.691658973693848,9.434838136037191,12.463619788487753,13.47587088053304,16.838228702545166,13.887914419174194,18.000263214111328,17.936047902921352,22.189489555358882,29.172893524169922,164,84
Phymatolithon lenormandii,4.600311279296875,6.512764930725098,10.430794715881348,9.806446336259315,11.742330551147461,10.30856986840566,13.977569421132406,13.488301737799953,15.56248958905538,13.379782676696777,17.823402404785156,17.56869277391657,20.612590980529777,26.734384536743164,3459,85
Diadumene lineata,2.2586677074432373,3.5579047203063965,8.107442855834961,9.139076398793982,20.616657257080078,10.580117106437683,12.43160049120585,14.066426669111117,26.115421613057453,13.488920211791992,18.81296157836914,19.462326842010338,29.412220001220703,29.517248153686523,378,86
Nemalion elminthoides,1.703871488571167,7.59705605506897,9.908567428588867,10.812037444114685,14.062679290771484,10.69231354991595,13.268141110738119,14.85394804630524,18.68416166305542,14.049253463745117,18.34564208984375,19.88209372300368,24.969345092773438,25.97415542602539,390,87
Bugula neritina,2.2586677074432373,7.474238395690918,19.917640686035156,16.092508639306455,22.525787353515625,11.751300613085428,22.999072869618733,18.88486985343154,24.338954130808514,15.230182647705078,25.97171974182129,22.247642914838067,27.29983139038086,29.850704193115234,621,88
Astyris lunata,-0.26474177837371826,-0.26474177837371826,17.561351776123047,13.166141041168352,22.99064798355102,7.724044806013505,23.43980836868286,19.083292191229802,26.452777067820232,18.819698333740234,27.963558197021484,25.65638805211075,30.24280548095703,30.886743545532227,492,89
